Ion Z N A alpha beta
SiXIV 14 1 0 0 0
SI 16 16 0 0 0
SII 16 15 0 0 0
SIII 16 14 0 0 0
SIV 16 13 0 0 0
SV 16 12 0 0 0
SVI 16 11 0 0 0
SVII 16 10 0 0 0
SVIII 16 9 0 0 0
SIX 16 8 0 0 0
SX 16 7 0 0 0
SXI 16 6 0 0 0
SXII 16 5 0 0 0
SXIII 16 4 0 0 0
SXIV 16 3 0 0 0
SXV 16 2 0 0 0
SXVI 16 1 0 0 0
ArI 18 18 0 0 0
ArII 18 17 0 0 0
ArIII 18 16 0 0 0
ArIV 18 15 0 0 0
ArV 18 14 0 0 0
ArVI 18 13 0 0 0
ArVII 18 12 0 0 0
ArVIII 18 11 0 0 0
ArIX 18 10 0 0 0
ArX 18 9 0 0 0
ArXI 18 8 0 0 0
ArXII 18 7 0 0 0
ArXIII 18 6 0 0 0
ArXIV 18 5 0 0 0
ArXV 18 4 0 0 0
ArXVI 18 3 0 0 0
ArXVII 18 2 0 0 0
ArXVIII 18 1 0 0 0
CaI 20 20 0 0 0
CaII 20 19 0 0 0
CaIII 20 18 0 0 0
CaIV 20 17 0 0 0
CaV 20 16 0 0 0
CaVI 20 15 0 0 0
CaVII 20 14 0 0 0
CaVIII 20 13 0 0 0
CaIX 20 12 0 0 0
CaX 20 11 0 0 0
CaXI 20 10 0 0 0
CaXII 20 9 0 0 0
CaXIII 20 8 0 0 0
CaXIV 20 7 0 0 0
CaXV 20 6 0 0 0
CaXVI 20 5 0 0 0
CaXVII 20 4 0 0 0
CaXVIII 20 3 0 0 0
CaXIX 20 2 0 0 0
CaXX 20 1 0 0 0
FeI 26 26 0 0 0
FeII 26 25 0 0 0
FeIII 26 24 0 0 0
FeIV 26 23 0 0 0
FeV 26 22 0 0 0
FeVI 26 21 0 0 0
FeVII 26 20 0 0 0
FeVIII 26 19 0 0 0
FeIX 26 18 0 0 0
FeX 26 17 0 0 0
FeXI 26 16 0 0 0
FeXII 26 15 0 0 0
FeXIII 26 14 0 0 0
FeXIV 26 13 0 0 0
FeXV 26 12 1.46e-10 0.597 5.22e-2
FeXVI 26 11 1.68e-10 0.602 5.07e-2
FeXVII 26 10 1.91e-10 0.601 5.10e-2
FeXVIII 26 9 2.24e-10 0.579 5.49e-2
FeXIX 26 8 2.59e-10 0.567 5.65e-2
FeXX 26 7 2.96e-10 0.557 5.79e-2
FeXXI 26 6 3.16e-10 0.534 6.02e-2
FeXXII 26 5 3.49e-10 0.521 6.22e-2
FeXXIII 26 4 3.91e-10 0.523 6.15e-2
FeXXIV 26 3 4.33e-10 0.537 5.49e-2
FeXXV 26 2 4.77e-10 0.537 5.49e-2
FeXXVI 26 1 5.84e-10 0.546 4.02e-2
