Ion Z N Arad Xrad
FeXIII 26 14 2.00e-10 8.36e-1
FeXIV 26 13 2.41e-10 8.40e-1
FeXV 26 12 0 0
FeXVI 26 11 0 0
FeXVII 26 10 0 0
FeXVIII 26 9 0 0
FeXIX 26 8 0 0
FeXX 26 7 0 0
FeXXI 26 6 0 0
FeXXII 26 5 0 0
FeXXIII 26 4 0 0
FeXXIV 26 3 0 0
FeXXV 26 2 0 0
FeXXVI 26 1 0 0
