Ion Z N a b T0 T1
SVIII 16 9 0 1 1 1
SIX 16 8 0 1 1 1
SX 16 7 0 1 1 1
SXI 16 6 0 1 1 1
SXII 16 5 0 1 1 1
SXIII 16 4 0 1 1 1
SXIV 16 3 6.571e-10 0.6400 1.452e3 5.796e7
SXV 16 2 9.692e-10 0.6945 1.017e3 1.517e8
SXVI 16 1 1.729e-9 0.7568 4.725e2 1.746e8
ArI 18 18 0 1 1 1
ArII 18 17 0 1 1 1
ArIII 18 16 0 1 1 1
ArIV 18 15 0 1 1 1
ArV 18 14 0 1 1 1
ArVI 18 13 0 1 1 1
ArVII 18 12 0 1 1 1
ArVIII 18 11 2.862e-10 0.5621 7.002e2 4.885e7
ArIX 18 10 0 1 1 1
ArX 18 9 0 1 1 1
ArXI 18 8 0 1 1 1
ArXII 18 7 0 1 1 1
ArXIII 18 6 0 1 1 1
ArXIV 18 5 0 1 1 1
ArXV 18 4 0 1 1 1
ArXVI 18 3 7.538e-10 0.6388 1.889e3 7.305e7
ArXVII 18 2 1.087e-9 0.6936 1.329e3 1.880e8
ArXVIII 18 1 1.913e-9 0.7567 6.175e2 2.212e8
CaI 20 20 0 1 1 1
CaII 20 19 0 1 1 1
CaIII 20 18 0 1 1 1
CaIV 20 17 0 1 1 1
CaV 20 16 0 1 1 1
CaVI 20 15 0 1 1 1
CaVII 20 14 0 1 1 1
CaVIII 20 13 0 1 1 1
CaIX 20 12 0 1 1 1
CaX 20 11 5.273e-10 0.6281 5.329e2 3.188e7
CaXI 20 10 0 1 1 1
CaXII 20 9 0 1 1 1
CaXIII 20 8 0 1 1 1
CaXIV 20 7 0 1 1 1
CaXV 20 6 0 1 1 1
CaXVI 20 5 0 1 1 1
CaXVII 20 4 0 1 1 1
CaXVIII 20 3 8.577e-10 0.6281 5.329e2 3.188e7
CaXIX 20 2 1.179e-9 0.6893 1.757e3 2.344e8
CaXX 20 1 2.129e-9 0.7570 7.591e2 2.749e8
FeI 26 26 0 1 1 1
FeII 26 25 0 1 1 1
FeIII 26 24 0 1 1 1
FeIV 26 23 0 1 1 1
FeV 26 22 0 1 1 1
FeVI 26 21 0 1 1 1
FeVII 26 20 0 1 1 1
FeVIII 26 19 0 1 1 1
FeIX 26 18 0 1 1 1
FeX 26 17 0 1 1 1
FeXI 26 16 0 1 1 1
FeXII 26 15 0 1 1 1
FeXIII 26 14 0 1 1 1
FeXIV 26 13 0 1 1 1
FeXV 26 12 0 1 1 1
FeXVI 26 11 7.688e-10 0.6173 1.653e3 6.161e7
FeXVII 26 10 0 1 1 1
FeXVIII 26 9 0 1 1 1
FeXIX 26 8 0 1 1 1
FeXX 26 7 0 1 1 1
FeXXI 26 6 0 1 1 1
FeXXII 26 5 0 1 1 1
FeXXIII 26 4 0 1 1 1
FeXXIV 26 3 1.198e-9 0.6443 3.789e3 1.437e8
FeXXV 26 2 1.542e-9 0.6859 3.073e3 3.926e8
FeXXVI 26 1 2.735e-9 0.7568 1.314e3 4.659e8
